company,platform,job_id,title,department,location,is_remote,published_at,apply_url
openai,ashby,8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3,"Technical Program Manager, Compute Infrastructure",Technical Program Management,San Francisco,False,2026-03-12T16:38:15.322+00:00,https://jobs.ashbyhq.com/openai/8fb1615c-34bf-47c4-a1d1-b7b2f836bbd3
openai,ashby,240d459b-696d-43eb-8497-fab3e56ecd9b,Research Engineer,Research,San Francisco,False,2025-04-05T00:03:20.653+00:00,https://jobs.ashbyhq.com/openai/240d459b-696d-43eb-8497-fab3e56ecd9b
openai,ashby,18f58952-c242-4562-8732-073a0ae8029e,Account Director - Tokyo,Go To Market,"Tokyo, Japan",False,2026-01-23T00:17:18.483+00:00,https://jobs.ashbyhq.com/openai/18f58952-c242-4562-8732-073a0ae8029e
openai,ashby,13995549-e8cc-498f-9eaa-1869067ac35b,"Software Engineer, RL Training Infra",Research,San Francisco,True,2026-05-23T02:00:50.464+00:00,https://jobs.ashbyhq.com/openai/13995549-e8cc-498f-9eaa-1869067ac35b
openai,ashby,7322d344-9325-4a92-8445-0a2c4e9272f8,"Research Engineer, Retrieval & Search, Applied Engineering",Applied AI,San Francisco,False,2024-03-20T21:33:20.763+00:00,https://jobs.ashbyhq.com/openai/7322d344-9325-4a92-8445-0a2c4e9272f8
openai,ashby,0b428c6d-7c06-4feb-82b6-5bbe5cda2a18,"Account Director, Startups",Go To Market,São Paulo,True,2026-08-31T21:22:23.258+00:00,https://jobs.ashbyhq.com/openai/0b428c6d-7c06-4feb-82b6-5bbe5cda2a18
openai,ashby,2560ed50-5535-42b8-b069-9ebc28ce7493,"Researcher, Robustness & Safety Training",Safety Systems,San Francisco,False,2023-05-25T04:06:29.356+00:00,https://jobs.ashbyhq.com/openai/2560ed50-5535-42b8-b069-9ebc28ce7493
openai,ashby,3c67f712-697d-48d8-b05c-01be896e61da,"Software Engineer, Scaled Abuse",Applied AI,San Francisco,False,2026-06-08T16:15:58.343+00:00,https://jobs.ashbyhq.com/openai/3c67f712-697d-48d8-b05c-01be896e61da
openai,ashby,f763c6b3-5167-4a67-b691-4c3fa2c44156,"Software Engineer, Data Infrastructure",Scaling,San Francisco,False,2024-06-27T22:14:24.195+00:00,https://jobs.ashbyhq.com/openai/f763c6b3-5167-4a67-b691-4c3fa2c44156
openai,ashby,d8794980-1d3f-4d82-8b48-811449b6c492,Training: ML Framework Engineer,Scaling,San Francisco,False,2025-10-29T02:18:26.437+00:00,https://jobs.ashbyhq.com/openai/d8794980-1d3f-4d82-8b48-811449b6c492
openai,ashby,2cba0d45-7a4f-4f38-ac73-3f8633bf0349,"Software Engineer, Developer Productivity",Applied AI,San Francisco,False,2025-03-27T16:44:10.676+00:00,https://jobs.ashbyhq.com/openai/2cba0d45-7a4f-4f38-ac73-3f8633bf0349
openai,ashby,41d9d129-2e58-4ad3-be81-2e5096f4da4d,"Software Engineer, Data Acquisition ",Research,San Francisco,False,2023-09-22T01:31:37.849+00:00,https://jobs.ashbyhq.com/openai/41d9d129-2e58-4ad3-be81-2e5096f4da4d
